-1,*Missing*,-1,*,-1,-1,*Missing*,*Missing*,*Missing*,*Missing*,*Missing*,-1
642,"(642) Philadelphia, PA",4,Y,NULL,4,Eastern Standard Time,PHI,1,North Atlantic, Philadelphia,9882
614,"(614) Memphis, TN",9,Y,NULL,3,Central Standard Time,MEM,2,Southeast, Memphis,9992
695,"(695) Milwaukee, WI",12,Y,NULL,2,Central Standard Time,MIW,3,MidWest, Milwaukee,10071
618,"(618) Minneapolis, MN (CACHE 5.0)",23,Y,NULL,2,Central Standard Time,MIN,3,MidWest, Minneapolis,10150
623,"(623) Muskogee, OK",19,Y,NULL,2,Central Standard Time,MUS,4,Continental, Muskogee,10213
556,"(556) North Chicago, IL",12,Y,NULL,2,Central Standard Time,NCH,3,Midwest, North Chicago,10360
629,"(629) New Orleans, LA",16,Y,NULL,2,Central Standard Time,NOL,4,Continental, New Orleans,10442
459,(459) VA Pacific Islands HCS (Honolulu HI),21,Y,NULL,1,Hawaiian Standard Time,HON,5,Pacific, Honolulu,10501
593,(593) Southern Nevada HCS (Las Vegas NV),21,Y,NULL,1,Pacific Standard Time,LAS,5,Pacific, Las Vegas,10570
605,"(605) Loma Linda, CA",22,Y,NULL,1,Pacific Standard Time,LOM,5,Pacific, Loma Linda,10674
600,(600) Long Beach HCS (Long Beach CA),22,Y,NULL,1,Pacific Standard Time,LON,5,Pacific, Long Beach,10685
526,"(526) Bronx, NY",2,Y,NULL,4,Eastern Standard Time,BRX,1,North Atlantic, Bronx,10902
561,(561) New Jersey HCS (East Orange),2,Y,NULL,4,Eastern Standard Time,NJH,1,North Atlantic, East Orange,10944
675,"(675) Orlando, FL",8,Y,NULL,3,Eastern Standard Time,ORL,2,Southeast, Orlando,11020
740,(740) Texas Valley Coastal Bend HCS (Harlingen TX),17,Y,NULL,2,Central Standard Time,VCB,4,Continental,Harlingen,1000000070
670,"(670) Syracuse, NY (inactivated 4/1/2000)",2,N,528,4,NULL,NULL,NULL,NULL,NULL,NULL
677,"(677) Topeka, KS",15,N,589,2,NULL,NULL,NULL,NULL,NULL,NULL
622,"(622) Murfreesboro, TN",9,N,626,3,NULL,NULL,NULL,NULL,NULL,NULL
532,"(532) Canandaigua, NY (inactivated 10/1/1999)",2,N,528,4,NULL,NULL,NULL,NULL,NULL,NULL
584,"(584) Iowa City, IA",14,N,636,NULL,NULL,NULL,NULL,NULL,NULL,NULL
358,"(358) Manila, Philippines",21,Y,NULL,1,Taipei Standard Time,MPI,5,Pacific, Manila,NULL
567,"(567) Ft. Lyon, Colo (inactivated 10/1/2001)",19,N,554,1,NULL,NULL,NULL,NULL,NULL,NULL
555,(555) Des Moines (inactivated 7/1/2000),14,N,636,NULL,NULL,NULL,NULL,NULL,NULL,NULL
543,"(543) Columbia, Missouri (inactivated 4/1/2001)",15,N,589,2,NULL,NULL,NULL,NULL,NULL,NULL
647,"(647) Poplar Bluff, MO",15,N,657,2,NULL,NULL,NULL,NULL,NULL,NULL
514,(514) Bath (inactivated 7/1/2000),2,N,528,4,NULL,NULL,NULL,NULL,NULL,NULL
500,(500) Albany (inactivated 7/1/2000),2,N,528,4,NULL,NULL,NULL,NULL,NULL,NULL
609,"(609) Marion, IL",15,N,657,2,NULL,NULL,NULL,NULL,NULL,NULL
597,(597) Greater Nebraska,14,N,636,NULL,NULL,NULL,NULL,NULL,NULL,NULL
452,(452) Wichita (inactivated 10/1/2001),15,N,589,2,NULL,NULL,NULL,NULL,NULL,NULL
